Origen,Destino,Modo,Horario,Tiempo
Güemes 3401,Entre Ríos y Rivadavia,transit,,28
Zabala 1701,Balcarce 1,transit,,38
Zabala 1701,Entre Ríos y Rivadavia,bicycling,,33
Zabala 1701,Entre Ríos y Rivadavia,transit,,42
Olazábal 3201,Balcarce 1,transit,,43
Olazábal 3201,Entre Ríos y Rivadavia,bicycling,,41
Olazábal 3201,Entre Ríos y Rivadavia,transit,,47
CIUDAD DE LA PAZ 2101,Balcarce 1,transit,,31
CIUDAD DE LA PAZ 2101,Entre Ríos y Rivadavia,bicycling,,38
CIUDAD DE LA PAZ 2101,Entre Ríos y Rivadavia,transit,,34
Las Heras 2001,Balcarce 1,transit,,24
Las Heras 2001,Entre Ríos y Rivadavia,bicycling,,11
Las Heras 2001,Entre Ríos y Rivadavia,transit,,28
Av Cnel Diaz 1700 2°,Balcarce 1,transit,,23
Av Cnel Diaz 1700 2°,Entre Ríos y Rivadavia,bicycling,,17
Av Cnel Diaz 1700 2°,Entre Ríos y Rivadavia,transit,,30
Vidal 1501,Balcarce 1,transit,,34
Vidal 1501,Entre Ríos y Rivadavia,bicycling,,34
Vidal 1501,Entre Ríos y Rivadavia,transit,,38
zapiola 2301,Balcarce 1,transit,,42
zapiola 2301,Entre Ríos y Rivadavia,bicycling,,40
zapiola 2301,Entre Ríos y Rivadavia,transit,,46
Palpa 3001,Balcarce 1,transit,,38
Palpa 3001,Entre Ríos y Rivadavia,bicycling,,30
Palpa 3001,Entre Ríos y Rivadavia,transit,,44
Santa Fe y Pueyrredón,Balcarce 1,transit,,15
Santa Fe y Pueyrredón,Entre Ríos y Rivadavia,bicycling,,11
Santa Fe y Pueyrredón,Entre Ríos y Rivadavia,transit,,21
Acoyte 901,Balcarce 1,transit,,45
Acoyte 901,Entre Ríos y Rivadavia,bicycling,,22
Acoyte 901,Entre Ríos y Rivadavia,transit,,34
Av Gral Diaz Velez 4400 5°,Balcarce 1,transit,,67
Av Gral Diaz Velez 4400 5°,Entre Ríos y Rivadavia,bicycling,,55
Av Gral Diaz Velez 4400 5°,Entre Ríos y Rivadavia,transit,,59
Padilla 601,Balcarce 1,transit,,25
Padilla 601,Entre Ríos y Rivadavia,bicycling,,24
Padilla 601,Entre Ríos y Rivadavia,transit,,21
Gorriti 3401,Balcarce 1,transit,,25
Gorriti 3401,Entre Ríos y Rivadavia,bicycling,,14
Gorriti 3401,Entre Ríos y Rivadavia,transit,,34
